,rating,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,IMAX,Western,Film-Noir,(no genres listed),year
0,0.7602067183462533,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
1,0.6515151515151514,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
2,0.6132478632478633,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
3,0.41269841269841273,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
4,0.5714285714285714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
5,0.7657952069716776,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.801724137931032
6,0.5967078189300412,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
7,0.5277777777777777,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
8,0.5833333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
9,0.6658249158249159,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.801724137931032
10,0.7047619047619047,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
11,0.4269005847953216,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.801724137931032
12,0.5833333333333333,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
13,0.7407407407407407,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
14,0.5555555555555556,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
15,0.7615176151761518,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
16,0.7280265339966832,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
17,0.711111111111111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
18,0.49494949494949486,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
19,0.4444444444444445,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.801724137931032
20,0.6654182272159799,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.801724137931032
21,0.6049382716049383,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0.801724137931032
22,0.5833333333333333,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.801724137931032
23,0.5833333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.801724137931032
24,0.6944444444444444,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
25,0.6666666666666665,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
26,0.6296296296296295,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
27,0.8282828282828283,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
28,0.7807017543859649,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.801724137931032
29,0.5555555555555556,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
30,0.5964912280701753,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
31,0.7740112994350281,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.801724137931032
32,0.7005208333333333,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
33,0.7412935323383085,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
34,0.3611111111111111,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
35,0.6207264957264957,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
36,0.8333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
37,0.711111111111111,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.801724137931032
38,0.5555555555555556,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
39,0.5972222222222221,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
40,0.4541062801932367,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
41,0.625,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.801724137931032
42,0.5703703703703704,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
43,0.7723043240284619,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.801724137931032
44,0.588235294117647,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.801724137931032
45,0.5555555555555556,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
46,0.8306100217864922,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.801724137931032
47,0.6587301587301588,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
48,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7931034482758612
49,0.4074074074074074,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
50,0.7777777777777777,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
51,0.5694444444444444,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
52,0.7837837837837838,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7931034482758612
53,0.607843137254902,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
54,0.7222222222222221,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8103448275862064
55,0.7124999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
56,0.49206349206349204,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8103448275862064
57,0.3777777777777778,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8103448275862064
58,0.45161290322580644,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8103448275862064
59,0.4444444444444445,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.8103448275862064
60,0.6444444444444444,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
61,0.7277777777777776,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
62,0.6686868686868688,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.8103448275862064
63,0.26666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
64,0.6031746031746033,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
65,0.6581196581196582,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.801724137931032
66,0.7777777777777777,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8103448275862064
67,0.3777777777777778,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8103448275862064
68,0.6444444444444444,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.801724137931032
69,0.7777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.801724137931032
70,0.6296296296296295,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.801724137931032
71,0.5032679738562091,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8103448275862064
72,0.7777777777777777,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
73,0.5793650793650793,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
74,0.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
75,0.5555555555555556,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
76,0.746031746031746,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032
77,0.7703703703703704,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8103448275862064
78,0.4444444444444445,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8103448275862064
79,0.5902777777777777,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8103448275862064
80,0.6111111111111112,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.801724137931032
81,0.47222222222222215,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.8103448275862064
82,0.5185185185185186,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.801724137931032
